ID,root2tip_variance,tree_legnth,spTr_bipartition,sap,Ixonanthes,Galearia,Drypetes,Euphorb,ER,outgroup,total
1382.inclade1.ortho1.tre,0.0426789,5.83404,0.146341463,2,1,1,1,2,2,1,10
1409.inclade1.ortho1.tre,0.0666144,5.69431,0.219512195,4,1,1,1,2,2,1,12
1700.inclade1.ortho1.tre,0.00942767,3.96367,0.317073171,4,1,1,1,2,2,1,12
1932.inclade1.ortho1.tre,0.0130092,5.2404,0.243902439,3,1,1,1,2,2,1,11
2420.inclade1.ortho1.tre,0.0112926,4.26231,0.390243902,4,1,1,1,2,2,1,12
2437.inclade1.ortho1.tre,0.0395524,6.80746,0.341463415,3,1,1,1,2,2,1,11
2501.inclade1.ortho1.tre,0.0197596,4.6696,0.097560976,2,1,1,1,2,2,1,10
2571.inclade1.ortho1.tre,0.0230284,4.98657,0.170731707,4,1,1,1,2,2,1,12
2606.inclade1.ortho1.tre,0.0122432,4.9104,0.341463415,4,1,1,1,2,2,1,12
2662.inclade1.ortho1.tre,0.0146674,6.87309,0.463414634,4,1,1,1,2,2,1,12
2786.inclade1.ortho1.tre,0.0468295,5.6165,0.56097561,4,1,1,1,2,2,1,12
2787.inclade1.ortho1.tre,0.0222789,5.07923,0.268292683,3,1,1,1,2,2,1,11
2796.inclade1.ortho1.tre,0.0272174,6.73607,0.390243902,3,1,1,1,2,2,1,11
2810.inclade1.ortho1.tre,0.00263677,3.04198,0.317073171,4,1,1,1,2,2,1,12
2883.inclade1.ortho1.tre,0.0107863,5.47578,0.341463415,4,1,1,1,2,2,1,12
2888.inclade1.ortho1.tre,0.0248761,4.52928,0.268292683,3,1,1,1,2,2,1,11
2983.inclade1.ortho1.tre,0.189891,10.8003,0.43902439,4,1,1,1,2,2,1,12
2985.inclade1.ortho1.tre,0.031925,6.69283,0.43902439,3,1,1,1,2,2,1,11
3002.inclade1.ortho1.tre,0.0166909,6.38475,0.390243902,3,1,1,1,2,2,1,11
3036.inclade1.ortho1.tre,0.0168283,5.84871,0.512195122,4,1,1,1,2,2,1,12
3043.inclade1.ortho1.tre,0.0121138,6.52297,0.317073171,3,1,1,1,2,2,1,11
